word ; frequency
$emotion*$ ; 1
$emotion-$ ; 1
$foreign$ ; 9
$laugh$ ; 34
$name$ ; 80
$oov$ ; 6
a ; 5
acha ; 1
acima ; 1
afinal ; 1
agora ; 1
algum ; 1
alguém ; 1
além ; 1
amo ; 1
anos ; 1
anote ; 1
antes ; 2
ao ; 1
aquelas ; 1
ara ; 2
as ; 3
assim ; 2
atualmente ; 1
autoria ; 1
aí ; 6
bem ; 2
bom ; 1
br ; 1
canadense ; 1
caralho ; 1
cargo ; 1
choque ; 1
cidades ; 1
citado ; 1
coisa ; 1
coisas ; 1
com ; 8
comentários ; 1
começo ; 1
como ; 6
continuar ; 1
contratados ; 1
cuidado ; 1
curtido ; 1
da ; 3
dama ; 1
das ; 1
de ; 11
deixe ; 1
depressão ; 1
devem ; 1
direitos ; 1
do ; 4
doméstica ; 1
dos ; 2
e ; 5
ela ; 2
elas ; 1
eleito ; 1
eles ; 1
emergencialmente ; 1
entende ; 1
entender ; 2
entrega ; 1
espero ; 1
esquecido ; 1
essa ; 1
estamos ; 1
estudo ; 1
está ; 2
eu ; 1
evidente ; 1
exercendo ; 1
explicar ; 1
f ; 2
falou ; 1
falta ; 1
favor ; 1
fazem ; 1
fazer ; 1
feira ; 1
feministas ; 1
fica ; 1
finalmente ; 1
foda ; 1
foram ; 1
freire ; 1
funcionários ; 1
gente ; 1
gosto ; 1
grande ; 1
gratuitamente ; 1
greve ; 1
gênero ; 1
homem ; 1
html ; 1
http ; 2
https ; 1
idéias ; 1
iguais ; 1
iniciativa ; 1
injustiça ; 1
interessante ; 1
interrompidas ; 1
intolerância ; 1
isso ; 4
japonês ; 1
julgar ; 1
já ; 1
lado ; 1
lados ; 1
leite ; 1
lembra ; 1
lembrem ; 1
lerdo ; 1
linda ; 2
linha ; 1
linhas ; 2
lulu ; 1
lutar ; 1
mais ; 1
mal ; 1
manifestantes ; 1
marcada ; 1
marketing ; 1
mas ; 1
matricula ; 1
merece ; 1
mesmo ; 2
metro ; 1
minha ; 1
moletons ; 1
muito ; 2
mundo ; 1
negativas ; 1
nem ; 2
nesses ; 1
nome ; 1
nossa ; 2
notícias ; 1
não ; 10
nós ; 1
o ; 9
obrigado ; 1
os ; 2
ou ; 3
para ; 5
param ; 1
parecido ; 1
pariu ; 3
passar ; 1
pena ; 1
pensar ; 1
percurso ; 1
perguntar ; 1
pesquise ; 1
pessoal ; 2
pessoas ; 1
pistache ; 1
poema ; 1
pois ; 4
polícia ; 1
político ; 1
por ; 2
povo ; 1
primeiro ; 1
pro ; 1
procure ; 1
proibir ; 1
protesto ; 1
prático ; 1
pudim ; 1
puta ; 3
puto ; 1
quarta ; 1
quatro ; 1
que ; 13
recebe ; 1
representando ; 1
sabe ; 1
sai ; 1
saudades ; 1
se ; 4
segurança ; 1
sempre ; 2
seria ; 2
sexta ; 1
simplesmente ; 1
sobre ; 1
sofre ; 1
sombreamento ; 1
sou ; 1
sp ; 1
suspendem ; 1
são ; 1
t ; 1
também ; 3
tem ; 1
tento ; 1
terceiro ; 1
terra ; 1
tirando ; 1
tiraram ; 1
todo ; 1
trabalhar ; 1
tratamento ; 1
trechos ; 1
tristeza ; 1
tropas ; 1
tudo ; 1
um ; 3
uma ; 1
uns ; 1
usa ; 1
v ; 2
vale ; 1
vandalismo ; 1
velho ; 1
vem ; 1
ventura ; 1
vi ; 1
violência ; 1
virgem ; 1
você ; 6
vocês ; 1
vota ; 1
vou ; 1
vítima ; 1
vítimas ; 1
www ; 2
é ; 9
ônibus ; 1
