word ; frequency
$name$ ; 3
a ; 4
acham ; 1
acho ; 1
acusa ; 1
após ; 1
as ; 1
assumir ; 1
buraco ; 1
computador ; 1
corrupção ; 1
da ; 1
de ; 3
desculpa ; 1
discordo ; 1
disse ; 1
do ; 3
em ; 1
erra ; 1
foram ; 1
fórmula ; 1
governo ; 2
grande ; 1
intolerância ; 2
manifestações ; 1
me ; 1
mesmo ; 1
meteu ; 1
milhares ; 1
no ; 1
nunca ; 2
não ; 1
o ; 5
papel ; 1
pessoas ; 1
poderia ; 1
prefere ; 1
previsível ; 1
problema ; 1
programa ; 1
que ; 6
quem ; 1
reduzi-la ; 1
responsabilidades ; 1
resposta ; 1
ruas ; 1
sabe ; 1
se ; 1
sempre ; 1
suas ; 1
surpreende ; 1
tão ; 1
um ; 1
uma ; 1
vítima ; 1
às ; 1
é ; 3
