word ; frequency
$emotion*$ ; 33
$emotion-$ ; 2
$foreign$ ; 231
$laugh$ ; 31
$name$ ; 186
$oov$ ; 60
a ; 65
abas ; 1
abertas ; 1
abracei ; 1
abrindo ; 1
abrir ; 1
acaba ; 1
acabam ; 1
acabando ; 1
acabar ; 1
acabou ; 1
acha ; 3
achar ; 3
achava ; 1
achei ; 5
acho ; 10
achou ; 1
acompanho ; 1
acontece ; 1
aconteceram ; 1
acontecido ; 1
acredite ; 1
adoro ; 1
adultos ; 1
advogado ; 1
agente ; 1
agora ; 10
aguardem ; 1
aguem ; 1
ah ; 3
ainda ; 3
aleatória ; 2
aleatórios ; 1
algo ; 5
algum ; 1
alguma ; 2
algumas ; 1
alguns ; 2
alguém ; 14
alimentício ; 1
aliás ; 1
alma ; 1
amanhã ; 3
amigos ; 2
amor ; 1
andar ; 1
animada ; 1
animado ; 1
anime ; 11
animes ; 2
aniversário ; 2
ano ; 3
anos ; 1
anotações ; 1
antes ; 1
antigas ; 1
anão ; 2
ao ; 1
aparece ; 1
apareceu ; 1
apesar ; 2
aprendi ; 1
aproveitei ; 1
aquela ; 1
aquele ; 2
aqueles ; 1
aqui ; 13
aquilo ; 1
arrependimento ; 1
arruma ; 1
arrumar ; 1
art ; 2
as ; 11
assaltaram ; 1
assim ; 11
assistir ; 4
assunto ; 1
ataque ; 2
atende ; 1
atenção ; 1
atrapalhar ; 1
atrasado ; 3
atravessa ; 2
atrás ; 1
atualizações ; 1
até ; 11
aumentar ; 1
avisa ; 1
avisando ; 2
aí ; 32
baixa ; 1
baixando ; 1
baixar ; 2
baixinho ; 1
baixo ; 2
banco ; 1
banda ; 2
bandeira ; 1
barra ; 1
basta ; 1
bastante ; 1
beber ; 2
bebido ; 1
bem ; 6
beta ; 1
bicha ; 1
boa ; 5
boas ; 3
boiar ; 1
bom ; 5
bonito ; 1
bons ; 2
boxes ; 1
brasileira ; 1
brasileiros ; 1
brincadeira ; 1
brisa ; 1
brisando ; 1
bufando ; 1
buga ; 1
bugado ; 1
bônus ; 1
cabeça ; 1
cachorro ; 1
cada ; 5
cadê ; 1
cai ; 1
caindo ; 1
caixa ; 2
calma ; 2
camisa ; 1
camisetas ; 1
cancelaram ; 1
caos ; 1
capa ; 1
cara ; 4
caralho ; 1
caralhos ; 1
carne ; 1
carrega ; 1
casa ; 2
casar ; 1
cassinos ; 1
catch ; 1
caçados ; 1
cd ; 1
cedo ; 2
celular ; 2
cenas ; 1
centro ; 1
certeza ; 2
certo ; 3
chama ; 1
chamaram ; 1
chega ; 3
chegando ; 1
chegar ; 1
chegou ; 1
cheguei ; 1
cheio ; 2
chover ; 1
cidade ; 1
cima ; 2
cinema ; 2
clava ; 1
cliquei ; 1
cobertura ; 1
coca ; 1
coisa ; 6
coisado ; 1
coisas ; 4
cola ; 1
coloca ; 1
colocar ; 1
colocarem ; 1
colocou ; 1
com ; 30
comendo ; 1
comentei ; 1
comercial ; 2
começa ; 1
começando ; 2
como ; 17
completa ; 1
complicadas ; 1
compra ; 3
comprado ; 1
comprar ; 3
compre ; 1
comprei ; 1
comprem ; 1
compro ; 1
computador ; 5
confesso ; 1
conhece ; 1
conheci ; 1
conheço ; 1
consegue ; 1
conseguem ; 2
consegui ; 1
conseguir ; 1
consigo ; 4
constrangedor ; 1
conta ; 1
contar ; 1
conversas ; 1
copos ; 1
corre ; 1
coruja ; 1
cosplay ; 2
cosplayers ; 1
costas ; 1
couro ; 2
cozinha ; 1
cozinheiro ; 1
criança ; 1
crianças ; 2
cronicas ; 1
crédito ; 1
cu ; 1
currículo ; 1
currículos ; 1
curtir ; 2
custa ; 1
céu ; 1
da ; 29
dançando ; 2
dançante ; 1
dar ; 7
das ; 4
de ; 145
decepção ; 1
declarar ; 1
decorou ; 1
defeitos ; 1
definitivamente ; 1
deixa ; 1
deixar ; 1
deixei ; 1
dele ; 1
demais ; 4
demitida ; 1
demo ; 1
demônio ; 1
dentre ; 1
dentro ; 1
depender ; 1
depois ; 6
deprimida ; 1
descascar ; 1
desce ; 2
descer ; 1
descobre ; 1
descobri ; 1
descobrir ; 1
desconfiar ; 1
desconhecido ; 1
desde ; 2
desliga ; 1
desligo ; 1
desse ; 3
destruindo ; 1
detalhado ; 1
deu ; 1
deve ; 1
devia ; 2
dez ; 1
dia ; 9
diferente ; 3
diferentes ; 1
difíceis ; 1
difícil ; 1
diga ; 1
dinheiro ; 3
direto ; 1
diria ; 1
discussão ; 1
discutir ; 1
disso ; 1
distancia ; 1
distrai ; 1
diva ; 1
divertia ; 1
diz ; 1
dizer ; 1
do ; 43
doar ; 1
dobradiças ; 1
doce ; 1
dois ; 1
dorme ; 2
dormir ; 4
dos ; 6
dou ; 1
dragão ; 2
dragões ; 1
dramáticas ; 1
dramáticos ; 1
drogas ; 1
duas ; 1
duvido ; 1
dói ; 1
e ; 126
eco ; 1
ed ; 1
edições ; 1
ela ; 6
ele ; 16
eles ; 2
elogie ; 1
em ; 12
embora ; 1
emocionante ; 1
emprego ; 2
empresta ; 1
encarando ; 2
encomendar ; 1
encostar ; 1
enfim ; 3
engraçado ; 1
enquanto ; 1
ensino ; 1
entediado ; 2
entender ; 1
entendeu ; 1
entendi ; 1
entrevista ; 2
era ; 8
errado ; 1
esconde ; 1
escrever ; 2
escrevi ; 2
espada ; 1
esperam ; 1
esperança ; 1
esperar ; 1
esperava ; 1
esqueci ; 2
esquema ; 1
essa ; 12
essas ; 2
esse ; 7
estadia ; 1
estar ; 2
estou ; 2
estranhando ; 1
estranho ; 3
estrelas ; 1
está ; 15
etc ; 1
eterno ; 1
eu ; 83
eua ; 1
evento ; 2
eventos ; 2
exatamente ; 2
exercito ; 1
exercício ; 5
exibir ; 1
existe ; 1
existisse ; 1
expectativa ; 1
experiência ; 2
explorei ; 1
expressar ; 1
expressão ; 1
extra ; 1
facada ; 2
faculdade ; 1
fala ; 2
falando ; 6
falar ; 4
falaram ; 1
falo ; 1
falou ; 2
falta ; 2
fascina ; 1
favor ; 1
faz ; 3
fazendo ; 1
fazer ; 5
faça ; 1
faço ; 1
fechadura ; 1
feia ; 1
fera ; 2
festas ; 1
fez ; 1
fica ; 2
ficam ; 1
ficando ; 1
ficar ; 1
ficava ; 1
ficou ; 5
figurinhas ; 1
filho ; 1
filme ; 2
fim ; 2
final ; 5
finalmente ; 5
fio ; 1
fiquei ; 3
fiz ; 2
fizeram ; 2
foda ; 15
foda-se ; 1
fodas ; 1
fodendo ; 1
fodi ; 1
fodo ; 1
fogo ; 2
foi ; 11
folga ; 1
for ; 2
forem ; 1
forma ; 1
formar ; 1
força ; 1
fosse ; 2
foto ; 4
frio ; 1
frágil ; 1
fui ; 6
funciona ; 1
funcionar ; 1
futuro ; 1
fã ; 1
férias ; 3
fêmea ; 1
físico ; 1
fórum ; 1
game ; 8
games ; 3
ganhar ; 1
