word ; frequency
$emotion*$ ; 5
$emotion+$ ; 3
$foreign$ ; 82
$laugh$ ; 19
$name$ ; 59
$oov$ ; 10
a ; 28
acabado ; 1
acabar ; 1
acontecer ; 1
acreditando ; 1
agora ; 5
ainda ; 1
ajudar ; 1
alegria ; 1
algumas ; 1
além ; 1
am ; 1
amiga ; 1
amigos ; 1
amo ; 3
amor ; 5
ano ; 7
anúncio ; 1
ao ; 1
aquele ; 1
as ; 4
atenção ; 1
atual ; 1
até ; 3
aula ; 1
bar ; 1
barcos ; 1
base ; 1
bem ; 1
bicicleta ; 1
boa ; 3
boca ; 1
bolso ; 2
bom ; 4
bombeiros ; 1
bonitos ; 1
boné ; 1
brilha ; 1
buscar ; 1
cabeça ; 2
cachoeira ; 1
cachorro ; 1
cadê ; 1
cai ; 1
cair ; 1
cala ; 1
candidato ; 1
cansado ; 1
cansaram ; 1
cara ; 2
carnaval ; 1
carta ; 1
cd ; 1
certo ; 2
chegar ; 1
chorar ; 1
chove ; 1
choveu ; 1
chuva ; 2
chá ; 1
coisas ; 1
colabore ; 1
com ; 23
come ; 1
comer ; 1
começado ; 1
como ; 5
condenado ; 1
conhecer ; 1
conversar ; 1
copa ; 1
copia ; 1
curtindo ; 1
céu ; 1
da ; 13
dar ; 1
de ; 26
deixando ; 1
demais ; 1
depois ; 6
desagradável ; 1
descansar ; 1
descascando ; 1
desenvolvidos ; 1
dessa ; 1
desse ; 1
deu ; 2
df ; 1
dia ; 5
dinheiro ; 1
dirigindo ; 1
dna ; 1
do ; 13
dois ; 1
don ; 1
dos ; 5
durmo ; 1
década ; 1
e ; 22
ela ; 1
elas ; 1
ele ; 1
eleito ; 1
eles ; 1
em ; 5
engraçado ; 1
entender ; 1
entendeu ; 1
era ; 1
esporte ; 1
esqueço ; 1
essa ; 2
esse ; 6
esta ; 1
estado ; 2
estava ; 1
estilo ; 1
estou ; 1
estudado ; 1
está ; 1
estão ; 1
esvaziando ; 1
eu ; 7
exame ; 1
exercito ; 1
faculdade ; 1
falar ; 1
falava ; 1
falhar ; 1
famosa ; 1
família ; 1
fase ; 1
favor ; 1
faz ; 1
fazendo ; 1
fazer ; 2
faça ; 1
feito ; 1
felicidade ; 1
feliz ; 3
festa ; 2
