word ; frequency
$foreign$ ; 2
$laugh$ ; 1
$name$ ; 53
$oov$ ; 1
a ; 13
aceito ; 1
agora ; 4
alguém ; 1
almoço ; 1
ama ; 1
amar ; 2
amas ; 1
amigos ; 2
amo ; 2
amor ; 1
amou ; 1
aniversário ; 1
ao ; 1
aqueles ; 1
as ; 1
assim ; 2
assistindo ; 1
atos ; 1
até ; 2
aí ; 1
bem ; 1
bochechuda ; 1
bênção ; 1
bíblica ; 1
bíblico ; 2
casa ; 3
caso ; 1
clamar ; 2
com ; 5
como ; 2
coraçãozinho ; 1
corpo ; 1
cristo ; 2
crucificado ; 1
câmara ; 1
da ; 4
dar ; 2
de ; 8
desafiada ; 1
desafiado ; 1
desafiar ; 1
desafie ; 1
desafio ; 4
descrever ; 1
diferente ; 1
divertido ; 1
diz ; 1
do ; 5
e ; 8
ela ; 1
elas ; 1
eles ; 2
em ; 5
entregou ; 1
então ; 1
esmeralda ; 1
esteja ; 1
estilo ; 1
está ; 2
estão ; 1
eterno ; 1
eu ; 6
existimos ; 1
fazer ; 1
festa ; 1
fica ; 1
filho ; 1
fixamos ; 1
foto ; 1
fui ; 2
fé ; 1
glória ; 1
goste ; 1
graça ; 1
gálatas ; 1
importar ; 1
impossível ; 1
intimados ; 1
inútil ; 1
irmão ; 2
jornada ; 1
já ; 1
lembraram ; 1
linda ; 1
livro ; 1
louvar-te ; 1
maiores ; 1
mais ; 2
mas ; 3
me ; 2
mensagens ; 1
mentiroso ; 1
mereço ; 1
meu ; 3
meus ; 1
milésima ; 1
mim ; 2
minha ; 2
movemos ; 1
muito ; 2
muitíssimo ; 1
mundo ; 1
mãos ; 1
na ; 3
nada ; 1
naquilo ; 1
nele ; 1
no ; 3
nos ; 1
não ; 9
o ; 4
obras ; 1
obrigada ; 2
odeia ; 1
olhos ; 1
os ; 2
ou ; 1
palavras ; 1
para ; 4
pela ; 2
perdidos ; 1
pereira ; 1
pessoas ; 1
peça ; 1
pijama ; 1
pode ; 1
pois ; 5
por ; 5
postar ; 1
postem ; 1
precisa ; 1
presente ; 1
prima ; 1
primos ; 1
publicar ; 1
qual ; 2
quando ; 1
que ; 9
quem ; 3
quero ; 1
recordar ; 1
risada ; 1
se ; 6
sem ; 2
senhor ; 1
seu ; 2
sobre ; 1
sou ; 1
teatro ; 1
tens ; 1
teria ; 1
ti ; 7
todas ; 1
todos ; 1
trabalhar ; 1
transitório ; 1
tu ; 1
tuas ; 1
tudo ; 4
um ; 4
uma ; 1
vai ; 1
vamos ; 1
vem ; 2
versículo ; 2
vez ; 1
vida ; 1
visão ; 1
viu ; 2
vive ; 2
vivemos ; 1
vivo ; 1
vivo-a ; 1
você ; 1
vocês ; 1
vou ; 2
vê ; 4
é ; 6
