word ; frequency
$emotion*$ ; 8
$foreign$ ; 12
$laugh$ ; 8
$name$ ; 69
$oov$ ; 5
a ; 82
abalar ; 2
abandonar ; 1
abraçar ; 1
abraço ; 3
abraços ; 1
absoluta ; 1
absolutamente ; 1
acaba ; 5
acabo ; 1
acalma ; 1
acampamento ; 1
acertando ; 1
acha ; 2
achará ; 1
achava ; 1
acho ; 2
acolha ; 1
acolheu ; 1
acolhimento ; 1
acompanha ; 1
acontecer ; 1
acontecimentos ; 1
aconteça ; 2
adeus ; 2
admiro ; 1
admito ; 1
afilhado ; 2
afinal ; 3
agora ; 5
agradecer ; 2
agradeço ; 8
ainda ; 12
ajuda ; 1
ajudar ; 1
ajude ; 1
ajudo ; 1
alegria ; 3
alegrias ; 1
algo ; 2
algum ; 3
alguma ; 1
algumas ; 1
alguns ; 2
alguém ; 2
alto ; 1
alô ; 1
ama ; 5
amadurecer ; 1
amamos ; 1
amar ; 4
amei ; 3
amiga ; 14
amigas ; 4
amigos ; 6
amizade ; 12
amizades ; 1
amo ; 38
amor ; 22
andamos ; 1
aniversário ; 14
anjo ; 3
ano ; 7
anos ; 11
ao ; 6
apenas ; 1
aprende ; 2
aprendo ; 1
aquela ; 3
aquelas ; 1
aquele ; 1
aqui ; 4
arco-íris ; 1
as ; 11
assim ; 7
assista ; 1
assume ; 1
ativa ; 1
atrai ; 2
atrapalhar ; 1
atraso ; 1
através ; 1
atrás ; 2
até ; 5
avisa ; 2
aí ; 7
baixo ; 1
basta ; 1
batalhadora ; 1
batendo ; 1
bater ; 1
beijo ; 3
bem ; 10
boa ; 4
boas ; 1
bola ; 1
bom ; 4
boneca ; 2
bonita ; 1
braços ; 1
brincar ; 1
buscá-lo ; 1
cabeça ; 2
cada ; 18
cafunés ; 1
camarote ; 1
camarão ; 1
caminhada ; 1
caminho ; 3
caminhos ; 1
campus ; 6
cangaço ; 1
cansativo ; 1
capaz ; 1
caras ; 1
carinho ; 2
carnaval ; 1
casa ; 2
casamos ; 1
caso ; 3
castro ; 1
causava ; 1
cavalo ; 1
certeza ; 3
certo ; 1
chamar ; 1
chata ; 3
chato ; 1
chegadas ; 1
chegaram ; 1
chegou ; 1
cheguei ; 3
cheia ; 1
cicatriza ; 1
ciclo ; 1
circunstância ; 1
ciumenta ; 1
claro ; 2
coelho ; 1
coisa ; 6
coisas ; 4
colocado ; 2
colocando ; 1
com ; 24
comecei ; 1
comemoramos ; 1
comemorar ; 1
comentar ; 1
começou ; 1
comigo ; 7
como ; 16
companheiro ; 1
companhia ; 1
compartilhe ; 1
completa ; 1
completamente ; 1
complicado ; 1
comum ; 1
conceda ; 1
concedido ; 1
conectada ; 1
conhece ; 1
conhecer ; 1
conheceu ; 2
conheci ; 1
conheço ; 2
conquistam ; 1
conquistas ; 1
consegue ; 1
consegui ; 1
conseguindo ; 1
conselheira ; 1
conselhos ; 1
consigo ; 2
conta ; 1
contagiar ; 1
contar ; 4
contatos ; 1
contigo ; 3
continua ; 1
continuamente ; 1
conto ; 1
contra ; 2
contrário ; 1
conversando ; 1
corajoso ; 1
coração ; 5
correnteza ; 2
crescimento ; 1
cresça ; 1
criaturas ; 1
cuidar ; 1
cuidava ; 1
cuide ; 1
cultivou ; 1
cunhada ; 1
cunhado ; 1
cá ; 1
da ; 29
dado ; 1
daqui ; 1
dar ; 6
dar-te ; 1
das ; 3
daí ; 1
de ; 97
decidiu ; 1
dedicado ; 1
dedicação ; 1
dei ; 1
deixar ; 4
deixaram ; 1
deixe ; 1
dela ; 1
delas ; 1
dele ; 1
delegacia ; 1
deles ; 1
demais ; 2
demonstrar ; 1
demora ; 1
demore ; 1
demorou ; 1
depois ; 1
dera ; 1
derreto ; 1
descobri ; 1
descobrindo ; 1
descobrir ; 1
deseja ; 1
desejar ; 3
desejas ; 1
desejo ; 3
desejos ; 1
desencalhamento ; 1
desespero ; 1
desistir ; 1
desisto ; 1
desmaiei ; 1
dessa ; 1
dessas ; 1
desse ; 3
desses ; 1
destino ; 1
detalhe ; 1
deu ; 3
devendo ; 1
dezembro ; 1
dia ; 19
diferente ; 2
diferentes ; 1
difíceis ; 1
difícil ; 1
diga ; 2
digno ; 1
disso ; 1
distantes ; 1
distância ; 2
diva ; 1
dividir ; 1
diz ; 1
dizem ; 1
dizer ; 6
dizia ; 2
do ; 31
doar ; 1
dobro ; 1
doe ; 4
doidinho ; 1
dois ; 2
domingando ; 1
dona ; 3
dor ; 2
dormir ; 1
dos ; 2
doçura ; 1
duas ; 1
durante ; 1
duvide ; 1
dê ; 3
dúvidas ; 1
e ; 101
ela ; 4
elas ; 1
ele ; 3
em ; 18
embora ; 2
encarregue ; 1
encontramos ; 1
encontros ; 1
enfermeira ; 1
enfim ; 5
engenheira ; 2
enorme ; 1
ensina ; 1
entender ; 1
então ; 4
eramos ; 2
errando ; 1
