word ; frequency
$emotion*$ ; 3
$foreign$ ; 36
$laugh$ ; 27
$name$ ; 147
$oov$ ; 12
a ; 59
abstrata ; 1
acaba ; 1
acabamos ; 1
aceitando ; 1
acha ; 1
acham ; 1
achei ; 2
aconselho ; 1
acostumar ; 1
adotar ; 1
afeminados ; 1
agora ; 12
agradecendo ; 1
agradeço ; 1
aguardando ; 2
aguentar ; 1
ainda ; 7
ajudaram ; 1
ajudou ; 1
alfabetização ; 1
algo ; 1
alguma ; 1
algumas ; 1
alheio ; 1
alta ; 1
alternativo ; 1
ama ; 1
amam ; 1
amigo ; 1
angular ; 2
animal ; 1
anime ; 2
ano ; 1
anos ; 1
antes ; 1
anunciado ; 1
ao ; 5
ap ; 1
apenas ; 4
aplicada ; 1
apoiar ; 1
aprender ; 1
apresentador ; 1
aquele ; 1
aqui ; 8
aquisições ; 1
armadura ; 2
artigo ; 4
as ; 7
asno ; 1
assistidores ; 1
assistindo ; 1
assistir ; 2
associadas ; 1
assumimos ; 1
assumir ; 1
atraso ; 1
atualizações ; 1
até ; 6
aula ; 2
aulas ; 2
aura ; 1
autorizo ; 1
auxílio ; 1
avaliações ; 1
avante ; 1
aviso ; 1
ação ; 1
aí ; 14
bacana ; 1
bagaça ; 1
banco ; 1
bando ; 1
barulheira ; 1
barulho ; 1
base ; 1
bela ; 1
bem ; 3
besta ; 1
besteira ; 1
beta ; 2
big ; 1
bloco ; 1
boa ; 2
bola ; 3
bolhas ; 1
bolo ; 1
bom ; 1
bonita ; 1
bonitas ; 2
bonito ; 1
bons ; 1
boxe ; 1
boy ; 2
brasileira ; 1
brasileiro ; 2
brincadeira ; 1
busca ; 1
cabeça ; 1
cadastrando ; 1
cadastrar ; 1
cadastro ; 2
cadê ; 1
cai ; 2
cama ; 1
cancelado ; 1
candidatos ; 2
cara ; 6
característica ; 1
caralho ; 1
caramba ; 5
caráter ; 1
casa ; 2
causa ; 1
cavaleiro ; 1
celular ; 2
celulares ; 1
cenas ; 1
cenário ; 1
certo ; 2
chamar ; 1
chega ; 2
chegamos ; 1
chegar ; 1
chegaram ; 1
chocolates ; 1
chuta ; 1
chuva ; 1
cidade ; 2
cima ; 1
ciência ; 1
ciências ; 1
classe ; 1
classes ; 1
coberto ; 1
coisa ; 5
coisas ; 3
colaborar ; 1
colaborativo ; 1
colar ; 2
colide ; 1
colidiu ; 1
com ; 29
começando ; 1
começar ; 1
comida ; 1
como ; 14
companheiros ; 2
comparação ; 1
compartilhe ; 1
competência ; 1
complexas ; 1
complicado ; 2
compro ; 1
computador ; 1
concentração ; 1
concluída ; 2
concluído ; 1
concordo ; 1
conectá-lo ; 1
confidencial ; 1
confortável ; 1
conquista ; 1
conquistar ; 1
consegue ; 1
conseguimos ; 1
contando ; 2
contar ; 1
contexto ; 1
conteúdo ; 4
contida ; 1
contra ; 1
contribuir ; 1
conversando ; 1
copiar ; 3
coragem ; 2
correções ; 1
corrupção ; 1
costumo ; 1
criar ; 1
crítica ; 1
cubo ; 1
cumprido ; 1
cunhada ; 1
câncer ; 2
cópias ; 1
da ; 16
dados ; 1
dar ; 1
dariam ; 1
das ; 1
de ; 91
declaração ; 2
defendeu ; 1
defesa ; 1
degustador ; 1
deixa ; 1
deixou ; 1
deles ; 1
demais ; 2
democracia ; 1
demonstra ; 2
depois ; 1
deputados ; 1
deram ; 1
desafios ; 2
desaparecendo ; 1
desativaram ; 1
descontinuado ; 1
dessa ; 1
desse ; 2
desses ; 3
deste ; 1
devem ; 1
deveria ; 1
dia ; 3
dica ; 1
dicas ; 3
diferenciar ; 1
diferente ; 1
dificuldade ; 1
difícil ; 1
diga ; 1
dignar ; 1
digo ; 1
disciplina ; 1
disciplinas ; 1
disputa ; 1
distrações ; 1
distribuir ; 1
divulgar ; 1
diz ; 2
dizem ; 1
dizer ; 3
diálogos ; 1
do ; 21
doente ; 2
dois ; 4
dor ; 2
dormir ; 1
dos ; 6
dou ; 2
duas ; 1
dívida ; 1
dúvida ; 1
e ; 58
educação ; 1
ela ; 2
elas ; 2
ele ; 1
elementos ; 1
eles ; 2
em ; 22
embora ; 1
empregos ; 1
enquanto ; 2
ensinar ; 1
entendo ; 1
entidade ; 1
entidades ; 1
entrar ; 1
entre ; 1
entregue ; 2
então ; 2
enviado ; 1
era ; 2
erguendo ; 1
erra ; 1
errar ; 1
errei ; 1
escolham ; 1
escrota ; 1
essa ; 6
essas ; 4
esse ; 15
esta ; 3
estaremos ; 1
estará ; 1
estatuto ; 1
estou ; 3
estritamente ; 1
estudantes ; 1
estudar ; 2
estudo ; 1
estudos ; 1
está ; 15
estão ; 1
eterna ; 1
eu ; 24
exatas ; 1
excelente ; 1
existem ; 1
existencial ; 1
existia ; 1
existissem ; 2
facilmente ; 1
faisões ; 2
falam ; 1
falar ; 1
falta ; 3
faltando ; 1
farsa ; 1
fase ; 3
favor ; 1
faz ; 1
fazem ; 1
fazendo ; 1
fazer ; 8
fazê-lo ; 1
feita ; 1
feito ; 2
ferramenta ; 1
ficaria ; 1
fico ; 1
finais ; 1
final ; 4
finalizada ; 1
finalizado ; 4
finalmente ; 1
fins ; 1
fiquei ; 1
foda ; 8
fodas ; 1
fodástica ; 1
fofocas ; 1
foi ; 7
for ; 3
forma ; 1
força ; 1
fosse ; 2
fossem ; 1
fotos ; 1
franquia ; 4
frio ; 6
futuro ; 1
fácil ; 3
fã ; 1
fãs ; 1
férias ; 1
gabe ; 1
game ; 5
garganta ; 1
geladeira ; 1
gente ; 1
geração ; 1
globo ; 2
go ; 1
gostaria ; 1
gota ; 1
governo ; 1
graduação ; 1
grande ; 2
graças ; 1
gripe ; 1
gráfica ; 3
gráfico ; 1
guerra ; 1
gás ; 1
gêmeos ; 1
h ; 2
halo ; 4
história ; 1
hoje ; 4
honra ; 1
horas ; 1
html ; 1
http ; 1
humano ; 1
humildade ; 1
humildes ; 2
humilha ; 1
i ; 6
if ; 2
igual ; 1
iludem ; 1
iludo ; 1
imagens ; 1
imoral ; 1
implementar ; 1
importar ; 1
impressionando ; 1
imundície ; 1
inbox ; 1
inconsistência ; 1
incremente ; 1
independente ; 1
indivíduos ; 1
indústria ; 1
infinito ; 1
informação ; 3
insetos ; 2
insignificantes ; 1
instanciada ; 1
int ; 1
interação ; 1
interessante ; 1
interface ; 1
interpretação ; 1
interrompido ; 1
introdução ; 1
ir ; 1
irei ; 2
isso ; 17
jamais ; 1
joga ; 1
jogo ; 11
jogos ; 1
jr ; 1
junho ; 1
já ; 1
k ; 2
kart ; 3
lama ; 1
lamentável ; 3
lançada ; 1
lançado ; 3
lascou ; 1
legal ; 1
lei ; 1
lembra ; 1
lembrando ; 2
lhe ; 1
liga ; 2
limites ; 1
linda ; 3
linguagem ; 1
link ; 1
livro ; 1
lixo ; 2
louco ; 1
loucura ; 1
lugar ; 1
luta ; 1
luxuosa ; 1
lá ; 2
lógico ; 1
lúcifer ; 1
magnético ; 1
mais ; 16
mamanguapenses ; 1
maravilha ; 1
marcando ; 2
mas ; 9
massa ; 1
matar ; 1
maturidade ; 1
mb ; 1
me ; 6
medo ; 1
meio ; 1
melhor ; 1
melhoria ; 1
membros ; 1
menina ; 2
menos ; 1
merda ; 1
mereceu ; 1
meros ; 2
mesma ; 1
mesmo ; 4
mestrando ; 1
mestre ; 1
meu ; 4
