word ; frequency
$emotion*$ ; 1
$emotion-$ ; 1
$foreign$ ; 103
$laugh$ ; 5
$name$ ; 65
$oov$ ; 9
a ; 21
absurdamente ; 1
absurdo ; 1
acabo ; 1
acompanhar ; 1
adianta ; 1
afinal ; 1
agora ; 1
ainda ; 1
ajudo ; 1
algum ; 1
amanhecer ; 1
amigos ; 1
amo ; 3
amor ; 2
animais ; 1
aninha ; 1
ano ; 2
ao ; 1
aparecer ; 1
apesar ; 1
aquele ; 2
aqui ; 1
arpoador ; 1
as ; 1
assaltada ; 1
aula ; 1
aulas ; 1
azul ; 1
aí ; 2
banda ; 1
bate ; 1
bem ; 3
besteira ; 1
bienal ; 1
bola ; 1
bom ; 3
bomba ; 1
bonito ; 3
bêbados ; 1
caindo ; 1
calendário ; 1
calmo ; 1
cantor ; 1
cantora ; 1
caso ; 1
cavaleiro ; 1
cheguei ; 1
cidade ; 1
com ; 6
come ; 1
começar ; 1
começo ; 1
comigo ; 1
como ; 5
compartihe ; 1
compartilhar ; 1
computador ; 1
concurso ; 1
concursos ; 1
conheça ; 1
continua ; 1
cortar ; 1
cristo ; 1
curta ; 1
curtas ; 2
curtir ; 1
céu ; 2
da ; 5
dance ; 1
dando ; 1
das ; 1
de ; 24
decorar ; 1
delícia ; 1
demais ; 1
depois ; 1
desejarem ; 1
deveria ; 1
dia ; 4
dinheiro ; 1
diretamente ; 1
do ; 10
don ; 2
dono ; 1
dorme ; 1
dormiu ; 1
dos ; 1
e ; 12
em ; 6
embora ; 1
espaço ; 1
estava ; 1
estavam ; 1
este ; 1
estudar ; 1
está ; 5
estão ; 1
eu ; 4
excluído ; 1
explicou ; 1
falem ; 2
fantasia ; 1
farofa ; 1
faz ; 1
felicidade ; 1
feliz ; 3
feriado ; 1
festa ; 2
final ; 1
fisio ; 2
fisioterapia ; 2
fitas ; 1
foda ; 1
fofinho ; 1
fofo ; 1
foi ; 1
fotos ; 1
fui ; 2
fundição ; 1
fé ; 1
ganha ; 1
ganhei ; 1
gente ; 1
go ; 1
gordo ; 1
gosto ; 1
greve ; 1
hoje ; 1
hora ; 1
horas ; 1
hot ; 1
http ; 2
https ; 2
i ; 4
ih ; 1
in ; 2
indo ; 1
infante ; 1
infinita ; 1
intensidade ; 1
irritante ; 1
is ; 2
isso ; 2
it ; 1
janeiro ; 1
jiujiteiros ; 1
já ; 1
lage ; 2
legal ; 1
lembrei ; 1
lembro ; 1
lemos ; 1
leão ; 1
lido ; 4
lindo ; 3
lindos ; 1
logo ; 1
longe ; 1
luta ; 1
luz ; 1
lê ; 1
m ; 3
magro ; 1
maio ; 1
mais ; 2
maravilhoso ; 2
marquei ; 4
mas ; 1
maués ; 1
meio ; 1
melhor ; 4
memes ; 1
menos ; 1
mesmo ; 1
meu ; 1
minha ; 2
momento ; 2
monte ; 1
morrendo ; 1
mortos ; 1
muita ; 2
muito ; 5
mulher ; 1
multidão ; 1
mundo ; 3
música ; 2
na ; 5
nas ; 1
negrada ; 1
nerd ; 1
nesse ; 1
no ; 4
novidade ; 1
novo ; 2
nuvens ; 1
não ; 11
nós ; 1
o ; 24
obsessão ; 1
oh ; 1
olhar ; 1
olhem ; 1
ontem ; 2
opção ; 1
ordem ; 2
os ; 2
ou ; 2
out ; 1
para ; 2
parque ; 2
passando ; 1
passei ; 1
paz ; 1
pegue ; 1
pelo ; 1
pensa ; 1
perfil ; 1
pessoal ; 1
peste ; 1
pior ; 1
plano ; 1
por ; 1
porrada ; 1
pouca ; 1
pra ; 5
praia ; 1
pregador ; 1
pressa ; 1
primeiros ; 1
pro ; 1
professor ; 2
progresso ; 1
proporcional ; 1
prédio ; 1
puxa ; 1
pós ; 1
que ; 12
quem ; 4
questão ; 1
realize ; 1
redentor ; 1
reinos ; 1
ri ; 1
ribeiro ; 1
rio ; 4
risos ; 1
rock ; 2
romântico ; 1
roupa ; 1
réveillon ; 1
sala ; 3
saúde ; 1
se ; 1
sem ; 1
semana ; 1
sempre ; 2
sensual ; 1
ser ; 2
sete ; 1
seu ; 1
sexy ; 1
show ; 5
sim ; 1
sol ; 1
sono ; 1
sua ; 2
subida ; 1
são ; 1
só ; 2
t ; 3
também ; 1
tanto ; 1
tarado ; 1
te ; 6
tenho ; 3
tenso ; 1
ter ; 1
tijuca ; 1
tirar ; 1
tiras ; 1
tiro ; 1
to ; 1
tocou ; 1
todo ; 1
tornou ; 1
torres ; 1
tradutor ; 1
trapacear ; 1
troupe ; 1
tudo ; 4
turma ; 1
uerj ; 1
ufrj ; 5
um ; 5
uma ; 4
universiotarios ; 1
v ; 4
vale ; 1
vez ; 1
vida ; 1
vidro ; 1
visite ; 1
visto ; 1
viu ; 1
você ; 5
vocês ; 1
vou ; 2
voz ; 1
vá ; 1
vídeo ; 1
www ; 5
à ; 1
é ; 5
